JobID|JobName|MaxRSS|Elapsed|ReqMem|
35256075_104.batch|batch|9352K|00:42:52|1Gn|
35256075_104.extern|extern|748K|00:42:52|1Gn|
35256075_105|kplr000893647array.sh||00:16:10|1Gn|
35256075_105.batch|batch|9348K|00:16:10|1Gn|
35256075_105.extern|extern|752K|00:16:15|1Gn|
35256075_106|kplr000893647array.sh||00:20:41|1Gn|
35256075_106.batch|batch|9344K|00:20:41|1Gn|
35256075_106.extern|extern|752K|00:20:41|1Gn|
35256075_107|kplr000893647array.sh||00:17:07|1Gn|
35256075_107.batch|batch|9352K|00:17:07|1Gn|
35256075_107.extern|extern|748K|00:17:07|1Gn|
35256075_108|kplr000893647array.sh||00:15:30|1Gn|
35256075_108.batch|batch|9352K|00:15:30|1Gn|
35256075_108.extern|extern|752K|00:15:30|1Gn|
35256075_109|kplr000893647array.sh||00:15:05|1Gn|
35256075_109.batch|batch|9348K|00:15:05|1Gn|
35256075_109.extern|extern|744K|00:15:08|1Gn|
35256075_110|kplr000893647array.sh||00:13:10|1Gn|
35256075_110.batch|batch|9348K|00:13:10|1Gn|
35256075_110.extern|extern|748K|00:13:10|1Gn|
35256075_111|kplr000893647array.sh||00:12:54|1Gn|
35256075_111.batch|batch|9340K|00:12:54|1Gn|
35256075_111.extern|extern|752K|00:12:54|1Gn|
35256075_112|kplr000893647array.sh||00:11:28|1Gn|
35256075_112.batch|batch|9348K|00:11:28|1Gn|
35256075_112.extern|extern|748K|00:11:28|1Gn|
35256075_113|kplr000893647array.sh||00:10:37|1Gn|
35256075_113.batch|batch|9348K|00:10:37|1Gn|
35256075_113.extern|extern|748K|00:10:37|1Gn|
35256075_114|kplr000893647array.sh||00:10:32|1Gn|
35256075_114.batch|batch|9348K|00:10:32|1Gn|
35256075_114.extern|extern|748K|00:10:32|1Gn|
35256075_115|kplr000893647array.sh||00:10:01|1Gn|
35256075_115.batch|batch|9356K|00:10:01|1Gn|
35256075_115.extern|extern|752K|00:10:01|1Gn|
35256075_116|kplr000893647array.sh||00:09:46|1Gn|
35256075_116.batch|batch|9348K|00:09:46|1Gn|
35256075_116.extern|extern|752K|00:09:46|1Gn|
35256075_117|kplr000893647array.sh||00:07:59|1Gn|
35256075_117.batch|batch|9352K|00:07:59|1Gn|
35256075_117.extern|extern|752K|00:07:59|1Gn|
35256075_118|kplr000893647array.sh||00:08:23|1Gn|
35256075_118.batch|batch|9344K|00:08:23|1Gn|
35256075_118.extern|extern|752K|00:08:23|1Gn|
35256075_119|kplr000893647array.sh||00:08:33|1Gn|
35256075_119.batch|batch|9340K|00:08:33|1Gn|
35256075_119.extern|extern|748K|00:08:36|1Gn|
35256075_120|kplr000893647array.sh||00:07:11|1Gn|
35256075_120.batch|batch|9352K|00:07:11|1Gn|
35256075_120.extern|extern|748K|00:07:11|1Gn|
35256075_121|kplr000893647array.sh||00:06:41|1Gn|
35256075_121.batch|batch|9348K|00:06:41|1Gn|
35256075_121.extern|extern|748K|00:06:41|1Gn|
35256075_122|kplr000893647array.sh||00:06:55|1Gn|
35256075_122.batch|batch|9344K|00:06:55|1Gn|
35256075_122.extern|extern|748K|00:06:55|1Gn|
35256075_123|kplr000893647array.sh||00:06:25|1Gn|
35256075_123.batch|batch|9348K|00:06:25|1Gn|
35256075_123.extern|extern|748K|00:06:25|1Gn|
35256075_124|kplr000893647array.sh||00:06:24|1Gn|
35256075_124.batch|batch|9344K|00:06:24|1Gn|
35256075_124.extern|extern|748K|00:06:24|1Gn|
35256075_125|kplr000893647array.sh||00:06:33|1Gn|
35256075_125.batch|batch|9356K|00:06:33|1Gn|
35256075_125.extern|extern|752K|00:06:33|1Gn|
35256075_126|kplr000893647array.sh||00:06:31|1Gn|
35256075_126.batch|batch|9352K|00:06:31|1Gn|
35256075_126.extern|extern|748K|00:06:32|1Gn|
35256075_127|kplr000893647array.sh||00:05:58|1Gn|
35256075_127.batch|batch|9340K|00:05:58|1Gn|
35256075_127.extern|extern|748K|00:05:58|1Gn|
35256075_128|kplr000893647array.sh||00:06:03|1Gn|
35256075_128.batch|batch|9348K|00:06:03|1Gn|
35256075_128.extern|extern|752K|00:06:03|1Gn|
35256075_129|kplr000893647array.sh||00:05:43|1Gn|
35256075_129.batch|batch|9340K|00:05:43|1Gn|
35256075_129.extern|extern|756K|00:05:43|1Gn|
35256075_130|kplr000893647array.sh||00:05:27|1Gn|
35256075_130.batch|batch|9344K|00:05:27|1Gn|
35256075_130.extern|extern|752K|00:05:27|1Gn|
35256075_131|kplr000893647array.sh||00:04:45|1Gn|
35256075_131.batch|batch|9352K|00:04:45|1Gn|
35256075_131.extern|extern|752K|00:04:45|1Gn|
35256075_132|kplr000893647array.sh||00:05:10|1Gn|
35256075_132.batch|batch|9340K|00:05:10|1Gn|
35256075_132.extern|extern|756K|00:05:10|1Gn|
35256075_133|kplr000893647array.sh||00:04:38|1Gn|
35256075_133.batch|batch|9352K|00:04:38|1Gn|
35256075_133.extern|extern|748K|00:04:38|1Gn|
35256075_134|kplr000893647array.sh||00:04:38|1Gn|
35256075_134.batch|batch|9340K|00:04:38|1Gn|
35256075_134.extern|extern|744K|00:04:38|1Gn|
35256075_135|kplr000893647array.sh||00:05:08|1Gn|
35256075_135.batch|batch|9340K|00:05:08|1Gn|
35256075_135.extern|extern|752K|00:05:08|1Gn|
35256075_136|kplr000893647array.sh||00:04:35|1Gn|
35256075_136.batch|batch|9340K|00:04:35|1Gn|
35256075_136.extern|extern|748K|00:04:35|1Gn|
35256075_137|kplr000893647array.sh||00:04:21|1Gn|
35256075_137.batch|batch|9340K|00:04:21|1Gn|
35256075_137.extern|extern|748K|00:04:21|1Gn|
35256075_138|kplr000893647array.sh||00:04:38|1Gn|
35256075_138.batch|batch|9336K|00:04:38|1Gn|
35256075_138.extern|extern|748K|00:04:38|1Gn|
35256075_139|kplr000893647array.sh||00:04:17|1Gn|
35256075_139.batch|batch|9352K|00:04:17|1Gn|
35256075_139.extern|extern|752K|00:04:17|1Gn|
35256075_140|kplr000893647array.sh||00:04:23|1Gn|
35256075_140.batch|batch|9340K|00:04:23|1Gn|
35256075_140.extern|extern|752K|00:04:23|1Gn|
35256075_141|kplr000893647array.sh||00:03:59|1Gn|
35256075_141.batch|batch|9340K|00:03:59|1Gn|
35256075_141.extern|extern|752K|00:03:59|1Gn|
35256075_142|kplr000893647array.sh||00:03:32|1Gn|
35256075_142.batch|batch|9336K|00:03:32|1Gn|
35256075_142.extern|extern|748K|00:03:32|1Gn|
35256075_143|kplr000893647array.sh||00:03:41|1Gn|
35256075_143.batch|batch|9352K|00:03:41|1Gn|
35256075_143.extern|extern|752K|00:03:41|1Gn|
35256075_144|kplr000893647array.sh||00:03:36|1Gn|
35256075_144.batch|batch|9348K|00:03:36|1Gn|
35256075_144.extern|extern|752K|00:03:36|1Gn|
35256075_145|kplr000893647array.sh||00:03:12|1Gn|
35256075_145.batch|batch|9344K|00:03:12|1Gn|
35256075_145.extern|extern|748K|00:03:12|1Gn|
35256075_146|kplr000893647array.sh||00:02:55|1Gn|
35256075_146.batch|batch|9332K|00:02:55|1Gn|
35256075_146.extern|extern|748K|00:02:55|1Gn|
35256075_147|kplr000893647array.sh||00:03:31|1Gn|
35256075_147.batch|batch|9348K|00:03:31|1Gn|
35256075_147.extern|extern|752K|00:03:31|1Gn|
35256075_148|kplr000893647array.sh||00:03:33|1Gn|
35256075_148.batch|batch|9344K|00:03:33|1Gn|
35256075_148.extern|extern|748K|00:03:33|1Gn|
35256075_149|kplr000893647array.sh||00:03:21|1Gn|
35256075_149.batch|batch|9344K|00:03:21|1Gn|
35256075_149.extern|extern|752K|00:03:21|1Gn|
35256075_150|kplr000893647array.sh||00:03:17|1Gn|
35256075_150.batch|batch|9340K|00:03:17|1Gn|
35256075_150.extern|extern|752K|00:03:17|1Gn|
35256075_151|kplr000893647array.sh||02:12:37|1Gn|
35256075_151.extern|extern||02:12:37|1Gn|
35256075_152|kplr000893647array.sh||02:12:37|1Gn|
35256075_152.extern|extern||02:12:37|1Gn|
35256075_153|kplr000893647array.sh||02:12:37|1Gn|
35256075_153.extern|extern||02:12:37|1Gn|
35256075_154|kplr000893647array.sh||02:12:37|1Gn|
35256075_154.extern|extern||02:12:37|1Gn|
35256075_155|kplr000893647array.sh||02:00:11|1Gn|
35256075_155.batch|batch|9012K|02:00:11|1Gn|
35256075_155.extern|extern|752K|02:00:11|1Gn|
35256075_156|kplr000893647array.sh||02:05:44|1Gn|
35256075_156.batch|batch|9016K|02:05:44|1Gn|
35256075_156.extern|extern|752K|02:05:46|1Gn|
35256075_157|kplr000893647array.sh||01:38:54|1Gn|
35256075_157.batch|batch|9016K|01:38:54|1Gn|
35256075_157.extern|extern|752K|01:38:54|1Gn|
35256075_158|kplr000893647array.sh||01:40:55|1Gn|
35256075_158.batch|batch|9012K|01:40:55|1Gn|
35256075_158.extern|extern|756K|01:40:55|1Gn|
35256075_159|kplr000893647array.sh||01:28:02|1Gn|
35256075_159.batch|batch|9016K|01:28:02|1Gn|
35256075_159.extern|extern|748K|01:28:02|1Gn|
35256075_160|kplr000893647array.sh||01:59:53|1Gn|
35256075_160.batch|batch|9012K|01:59:53|1Gn|
35256075_160.extern|extern|748K|01:59:53|1Gn|
35256075_161|kplr000893647array.sh||01:20:47|1Gn|
35256075_161.batch|batch|9020K|01:20:47|1Gn|
35256075_161.extern|extern|752K|01:20:47|1Gn|
35256075_162|kplr000893647array.sh||01:14:27|1Gn|
35256075_162.batch|batch|9012K|01:14:27|1Gn|
35256075_162.extern|extern|744K|01:14:27|1Gn|
35256075_163|kplr000893647array.sh||01:12:17|1Gn|
35256075_163.batch|batch|9008K|01:12:17|1Gn|
35256075_163.extern|extern|748K|01:12:17|1Gn|
35256075_164|kplr000893647array.sh||01:20:19|1Gn|
35256075_164.batch|batch|9012K|01:20:19|1Gn|
35256075_164.extern|extern|752K|01:20:19|1Gn|
35256075_165|kplr000893647array.sh||01:23:28|1Gn|
35256075_165.batch|batch|9012K|01:23:28|1Gn|
35256075_165.extern|extern|748K|01:23:28|1Gn|
35256075_166|kplr000893647array.sh||01:07:19|1Gn|
35256075_166.batch|batch|9012K|01:07:19|1Gn|
35256075_166.extern|extern|752K|01:07:19|1Gn|
35256075_167|kplr000893647array.sh||01:14:16|1Gn|
